,id,SPACECRAFT_NAME,SATURATED_DEFECTIVE_PIXEL_PERCENTAGE,BOA_ADD_OFFSET_B12,CLOUD_SHADOW_PERCENTAGE,system:footprint,SENSOR_QUALITY,GENERATION_TIME,CLOUDY_PIXEL_OVER_LAND_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,THIN_CIRRUS_PERCENTAGE,GRANULE_MEAN_WV,BOA_ADD_OFFSET_B1,BOA_ADD_OFFSET_B2,DATASTRIP_ID,BOA_ADD_OFFSET_B5,BOA_ADD_OFFSET_B6,BOA_ADD_OFFSET_B3,BOA_ADD_OFFSET_B4,BOA_ADD_OFFSET_B9,BOA_ADD_OFFSET_B7,BOA_ADD_OFFSET_B8,GRANULE_ID,MEAN_INCIDENCE_AZIMUTH_ANGLE_B8,DATATAKE_TYPE,MEAN_INCIDENCE_AZIMUTH_ANGLE_B9,MEAN_INCIDENCE_AZIMUTH_ANGLE_B6,MEAN_INCIDENCE_AZIMUTH_ANGLE_B7,MEAN_INCIDENCE_AZIMUTH_ANGLE_B4,NOT_VEGETATED_PERCENTAGE,MEAN_INCIDENCE_AZIMUTH_ANGLE_B5,RADIOMETRIC_QUALITY,MEAN_INCIDENCE_AZIMUTH_ANGLE_B2,MEAN_INCIDENCE_AZIMUTH_ANGLE_B3,MEAN_INCIDENCE_AZIMUTH_ANGLE_B1,HIGH_PROBA_CLOUDS_PERCENTAGE,UNCLASSIFIED_PERCENTAGE,OZONE_SOURCE,GRANULE_MEAN_AOT,BOA_ADD_OFFSET_B8A,SNOW_ICE_PERCENTAGE,BOA_ADD_OFFSET_B11,BOA_ADD_OFFSET_B10,GEOMETRIC_QUALITY,system:asset_size,system:index,DATATAKE_IDENTIFIER,AOT_RETRIEVAL_ACCURACY,AOT_RETRIEVAL_METHOD,MEAN_INCIDENCE_AZIMUTH_ANGLE_B8A,MEAN_SOLAR_AZIMUTH_ANGLE,VEGETATION_PERCENTAGE,SOLAR_IRRADIANCE_B12,SOLAR_IRRADIANCE_B10,SOLAR_IRRADIANCE_B11,SOLAR_IRRADIANCE_B8A,FORMAT_CORRECTNESS,system:time_end,WATER_VAPOUR_RETRIEVAL_ACCURACY,OZONE_VALUE,system:time_start,PROCESSING_BASELINE,SENSING_ORBIT_NUMBER,NODATA_PIXEL_PERCENTAGE,SENSING_ORBIT_DIRECTION,GENERAL_QUALITY,REFLECTANCE_CONVERSION_CORRECTION,MEDIUM_PROBA_CLOUDS_PERCENTAGE,MEAN_INCIDENCE_ZENITH_ANGLE_B1,MEAN_INCIDENCE_ZENITH_ANGLE_B5,MEAN_INCIDENCE_ZENITH_ANGLE_B4,MEAN_INCIDENCE_ZENITH_ANGLE_B3,MEAN_INCIDENCE_ZENITH_ANGLE_B2,MEAN_INCIDENCE_ZENITH_ANGLE_B9,MEAN_INCIDENCE_ZENITH_ANGLE_B8,MEAN_INCIDENCE_ZENITH_ANGLE_B7,DARK_FEATURES_PERCENTAGE,MEAN_INCIDENCE_ZENITH_ANGLE_B6,MEAN_SOLAR_ZENITH_ANGLE,MEAN_INCIDENCE_ZENITH_ANGLE_B8A,RADIATIVE_TRANSFER_ACCURACY,MGRS_TILE,CLOUDY_PIXEL_PERCENTAGE,PRODUCT_ID,MEAN_INCIDENCE_ZENITH_ANGLE_B10,SOLAR_IRRADIANCE_B9,DEGRADED_MSI_DATA_PERCENTAGE,MEAN_INCIDENCE_ZENITH_ANGLE_B11,L2A_QUALITY,MEAN_INCIDENCE_ZENITH_ANGLE_B12,SOLAR_IRRADIANCE_B6,MEAN_INCIDENCE_AZIMUTH_ANGLE_B10,SOLAR_IRRADIANCE_B5,MEAN_INCIDENCE_AZIMUTH_ANGLE_B11,SOLAR_IRRADIANCE_B8,MEAN_INCIDENCE_AZIMUTH_ANGLE_B12,SOLAR_IRRADIANCE_B7,SOLAR_IRRADIANCE_B2,SOLAR_IRRADIANCE_B1,SOLAR_IRRADIANCE_B4,SOLAR_IRRADIANCE_B3,WATER_PERCENTAGE,date
0,COPERNICUS/S2_SR_HARMONIZED/20220802T184931_20220802T185619_T10UGV,Sentinel-2A,0,-1000,1.192195,"{'type': 'LinearRing', 'coordinates': [[-119.62440386466427, 49.603574419821605], [-119.62452856674452, 49.60353575863342], [-119.62548296631672, 49.60192029928664], [-119.62747774937941, 49.59711484580668], [-119.63555578056801, 49.57629600085655], [-119.81565794100179, 49.103646721496176], [-119.99216457935069, 48.63061849748723], [-119.99314121661011, 48.62793578001626], [-119.99325717236486, 48.625984853829046], [-119.9928897451569, 48.62585079311464], [-118.79928250914857, 48.58844826377462], [-118.79914076433354, 48.58851279234404], [-118.7785536783186, 48.83476284835866], [-118.75768742530225, 49.08097542259386], [-118.73653499190405, 49.32717075179306], [-118.71509166872418, 49.573348659714156], [-118.71519079009671, 49.57344245994555], [-119.62440386466427, 49.603574419821605]]}",PASSED,1659487330000,8.540708,8.605626,5.960693,1.037251,-1000,-1000,S2A_OPER_MSI_L2A_DS_ATOS_20220803T004210_S20220802T185619_N04.00,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T10UGV_A037147_20220802T185619,105.261109621634,INS-NOBS,107.037236461984,106.229948023573,106.426747559712,105.838154816038,23.720223,106.041771737472,PASSED,105.062407340002,105.45929792239,106.885171162606,1.072705,0.352703,AUX_ECMWFT,0.155736,-1000,0.00216,-1000,-1000,PASSED,1239669717,20220802T184931_20220802T185619_T10UGV,GS2A_20220802T184931_037147_N04.00,0,SEN2COR_DDV,106.611375238828,152.32392481934,64.576554,85.25,367.15,245.59,955.32,PASSED,1659466864168,0,320.652401,1659466864168,04.00,113,29.96662,DESCENDING,PASSED,0.970249408238201,1.572228,8.90171250390422,8.79865087425554,8.77934046122613,8.74769682675746,8.72492005955811,8.93613984968319,8.73510588010652,8.84418059461635,0.462518,8.820236906014,33.9972353689574,8.87031228378577,0,10UGV,8.605626,S2A_MSIL2A_20220802T184931_N0400_R113_T10UGV_20220803T004210,8.7612940816228,812.92,0.0158,8.81130638426759,PASSED,8.87361749320301,1287.61,105.808327858379,1424.64,106.222126494212,1041.63,106.708697891483,1162.08,1959.66,1884.69,1512.06,1823.24,1.088017,2022-08-02
0,COPERNICUS/S2_SR_HARMONIZED/20220802T184931_20220802T185619_T11ULQ,Sentinel-2A,0,-1000,2.045009,"{'type': 'LinearRing', 'coordinates': [[-118.22501235555822, 48.65867495375569], [-118.22500851146368, 48.65868983889382], [-118.23713666711151, 49.152360725815186], [-118.24960063464755, 49.645979426398526], [-118.24965812359594, 49.64602029165077], [-118.24971038762776, 49.646068288156876], [-119.6172435164846, 49.6232213900815], [-119.61728465255027, 49.62321087192054], [-119.62056134409934, 49.622052223609366], [-119.62621617774045, 49.61867391879848], [-119.6485320445659, 49.60087860431658], [-119.64854737349525, 49.60085274672812], [-119.69497751147382, 49.478869011622706], [-119.72941771051003, 49.38305636022775], [-119.75199021666113, 49.31341507719065], [-119.73320753175581, 48.97331885879459], [-119.7147746449511, 48.63320836526011], [-119.71471712032245, 48.633168203209024], [-119.71466460425137, 48.63312084483714], [-118.2251426693759, 48.658605900886926], [-118.22508072521917, 48.65864314135155], [-118.22501235555822, 48.65867495375569]]}",PASSED,1659487330000,11.562289,11.593088,5.958561000000001,1.101064,-1000,-1000,S2A_OPER_MSI_L2A_DS_ATOS_20220803T004210_S20220802T185619_N04.00,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T11ULQ_A037147_20220802T185619,105.551034594785,INS-NOBS,106.310153244903,105.973526115567,106.05036474205,105.79935387948,18.249249,105.910469224408,PASSED,105.446486549924,105.651359922358,106.203739917208,2.671586,0.578676,AUX_ECMWFT,0.165042,-1000,0.001868,-1000,-1000,PASSED,1753877650,20220802T184931_20220802T185619_T11ULQ,GS2A_20220802T184931_037147_N04.00,0,SEN2COR_DDV,106.109834965866,153.176653439793,65.998811,85.25,367.15,245.59,955.32,PASSED,1659466862230,0,321.322319,1659466862230,04.00,113,1.782834,DESCENDING,PASSED,0.970249408238201,2.962941,7.39110832892149,7.25975929237999,7.23463441672665,7.18937973125169,7.15768285596132,7.43603404081904,7.17192382769423,7.3126971328135,0.583172,7.28047165089367,33.8758803503758,7.34770995161255,0,11ULQ,11.593088,S2A_MSIL2A_20220802T184931_N0400_R113_T11ULQ_20220803T004210,7.20873761927297,812.92,0.0075,7.27017964729601,PASSED,7.35340535120134,1287.61,105.84965053834,1424.64,106.044357701648,1041.63,106.158183708731,1162.08,1959.66,1884.69,1512.06,1823.24,0.950131,2022-08-02
0,COPERNICUS/S2_SR_HARMONIZED/20220805T185931_20220805T190358_T10UGV,Sentinel-2A,0,-1000,3.825614,"{'type': 'LinearRing', 'coordinates': [[-120.23161840128378, 49.619635570948745], [-120.23162358028529, 49.61962099411335], [-120.2592030914337, 49.12644726133067], [-120.28603979153036, 48.633227564023905], [-120.28598669129718, 48.63318477424808], [-120.28594217170989, 48.633137985861104], [-120.28591997160291, 48.633134665269424], [-118.79928250914857, 48.58844826377462], [-118.79921684951579, 48.58848247575698], [-118.79914517310502, 48.58851100766749], [-118.79913972655694, 48.58852563733207], [-118.7785536783186, 48.83476284835866], [-118.75768742530225, 49.08097542259386], [-118.73653499190405, 49.32717075179306], [-118.71509166872418, 49.573348659714156], [-118.71514432843388, 49.57339214035129], [-118.7151881209127, 49.57343954244238], [-118.71521064200907, 49.57344318513489], [-120.23148014090812, 49.6197000545994], [-120.23154615511808, 49.6196649880231], [-120.23161840128378, 49.619635570948745]]}",PASSED,1659749944000,37.725255,37.443724,9.047485,0.892984,-1000,-1000,S2A_OPER_MSI_L2A_DS_ATOS_20220806T013904_S20220805T190358_N04.00,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T10UGV_A037190_20220805T190358,266.939655261426,INS-NOBS,264.816627421227,265.241686043968,265.094649744363,265.660009619222,14.792489,265.419122854584,PASSED,267.667698850624,266.342798721561,264.858287807022,14.703999,2.011028,AUX_ECMWFT,0.103513,-1000,0.0018379999999999998,-1000,-1000,PASSED,1759479834,20220805T185931_20220805T190358_T10UGV,GS2A_20220805T185931_037190_N04.00,0,SEN2COR_DDV,265.06531019488,156.92935249782,39.173403,85.25,367.15,245.59,955.32,PASSED,1659726661828,0,345.544038,1659726661828,04.00,13,0.0,DESCENDING,PASSED,0.970975984580826,13.69224,4.77168935620443,4.52279089457278,4.46305455885938,4.37481971336967,4.29941907940804,4.84376574507909,4.3358198054597,4.64133140600829,1.891888,4.58011219785417,34.0436624901233,4.71132395071704,0,10UGV,37.443724,S2A_MSIL2A_20220805T185931_N0400_R013_T10UGV_20220806T013904,4.43477839288856,812.92,0.0204,4.56694900759486,PASSED,4.71653045134938,1287.61,265.637670709418,1424.64,265.104558391517,1041.63,264.821933111569,1162.08,1959.66,1884.69,1512.06,1823.24,0.8600140000000001,2022-08-05
0,COPERNICUS/S2_SR_HARMONIZED/20220805T185931_20220805T190358_T11ULQ,Sentinel-2A,0,-1000,3.669195,"{'type': 'LinearRing', 'coordinates': [[-118.24965812359594, 49.64602029165077], [-118.24971038762776, 49.646068288156876], [-119.76907306576355, 49.619686839428596], [-119.7691349642631, 49.61964872931927], [-119.76920787978723, 49.61961399030162], [-119.74161947287006, 49.1264277376968], [-119.7147746449511, 48.63320836526011], [-119.71471712032245, 48.633168203209024], [-119.71466460425137, 48.63312084483714], [-118.35056238067708, 48.65720351577578], [-118.35052183357834, 48.65721353535203], [-118.34943255653306, 48.65759040692238], [-118.34540247944895, 48.659804803156135], [-118.33416852468545, 48.666962229998106], [-118.33414866169227, 48.666985568274896], [-118.30990002585543, 48.70612966245242], [-118.28414557560997, 48.75176611211916], [-118.23089118808768, 48.877589774895085], [-118.23114958159525, 48.910345810193036], [-118.24960063464755, 49.645979426398526], [-118.24965812359594, 49.64602029165077]]}",PASSED,1659749944000,34.853405,34.603715,15.744616,0.91361,-1000,-1000,S2A_OPER_MSI_L2A_DS_ATOS_20220806T013904_S20220805T190358_N04.00,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T11ULQ_A037190_20220805T190358,286.75199160346,INS-NOBS,287.674163804384,287.273556389589,287.358553875661,287.069331371972,11.384113,287.154104670001,PASSED,286.63331588554,286.861951431455,287.566677777895,5.974408,1.6936699999999998,AUX_ECMWFT,0.071184,-1000,0.0,-1000,-1000,PASSED,1723651865,20220805T185931_20220805T190358_T11ULQ,GS2A_20220805T185931_037190_N04.00,0,SEN2COR_DDV,287.471788273205,157.792861561181,46.837914,85.25,367.15,245.59,955.32,PASSED,1659726659436,0,345.002251,1659726659436,04.00,13,1.087004,DESCENDING,PASSED,0.970975984580826,12.88469,7.13166464073605,6.99759446930985,6.9676853558465,6.92355614615145,6.89498351504456,7.17556810904693,6.91009513317811,7.05758707791177,0.7953379999999999,7.02852503972763,33.9480930137842,7.09458647170966,0,11ULQ,34.603715,S2A_MSIL2A_20220805T185931_N0400_R013_T11ULQ_20220806T013904,6.9521077784139,812.92,0.0222,7.01787195874377,PASSED,7.1046236957711,1287.61,286.822273251565,1424.64,287.069033667802,1041.63,287.329443533654,1162.08,1959.66,1884.69,1512.06,1823.24,1.016054,2022-08-05
0,COPERNICUS/S2_SR_HARMONIZED/20220807T184919_20220807T185536_T10UGV,Sentinel-2B,0,-1000,0.0,"{'type': 'LinearRing', 'coordinates': [[-118.79921684951579, 48.58848247575698], [-118.79914076433354, 48.58851279234404], [-118.7785536783186, 48.83476284835866], [-118.75768742530225, 49.08097542259386], [-118.73653499190405, 49.32717075179306], [-118.71509166872418, 49.573348659714156], [-118.71514432843388, 49.57339214035129], [-118.71519079009671, 49.57344245994555], [-119.62025903115752, 49.60345329973725], [-119.62031229228181, 49.603425578487965], [-119.62037862396915, 49.60341548205527], [-119.62039508405088, 49.60339561763603], [-119.62133866926918, 49.6017986928822], [-119.62637841368692, 49.58898472427982], [-119.78052451679193, 49.189046669088654], [-119.88581004162494, 48.90878806333465], [-119.98985655964336, 48.628389913407126], [-119.99000682319647, 48.62586547459011], [-119.98995391750199, 48.62582256928628], [-119.9899069903093, 48.62577283559671], [-118.79928250914857, 48.58844826377462], [-118.79921684951579, 48.58848247575698]]}",PASSED,1659909092000,0.000587,0.000756,0.000247,1.233759,-1000,-1000,S2B_OPER_MSI_L2A_DS_2BPS_20220807T215132_S20220807T185536_N04.00,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T10UGV_A028310_20220807T185536,106.052508230352,INS-NOBS,107.776542590605,106.991173411193,107.20006772838,106.584153505389,24.912918,106.780045058425,PASSED,105.864600114843,106.250257533601,107.593822709454,0.0,0.096926,AUX_ECMWFT,0.071559,-1000,0.0,-1000,-1000,PASSED,1228672630,20220807T184919_20220807T185536_T10UGV,GS2B_20220807T184919_028310_N04.00,0,SEN2COR_DDV,107.382602229907,153.231242030651,73.421484,87.75,365.41,247.08,953.93,PASSED,1659898857770,0,300.402213,1659898857770,04.00,113,30.197141,DESCENDING,PASSED,0.971499983833639,0.000509,8.89450568269398,8.78991066995557,8.77024271295083,8.73730864330762,8.71080706234384,8.9264037935734,8.72436779227158,8.84114358141782,0.288849,8.81422492013196,35.2532468140242,8.86759978296839,0,10UGV,0.000756,S2B_MSIL2A_20220807T184919_N0400_R113_T10UGV_20220807T215132,8.7551694131648,817.58,0.0093,8.80845726603978,PASSED,8.87215730517223,1291.13,106.601485438444,1425.78,107.034392416305,1041.28,107.448625186149,1175.57,1959.75,1874.3,1512.79,1824.93,1.279065,2022-08-07
0,COPERNICUS/S2_SR_HARMONIZED/20220807T184919_20220807T185536_T11ULQ,Sentinel-2B,0,-1000,0.0,"{'type': 'LinearRing', 'coordinates': [[-118.22501235555822, 48.65867495375569], [-118.22500851146368, 48.65868983889382], [-118.23713666711151, 49.152360725815186], [-118.24960063464755, 49.645979426398526], [-118.24965812359594, 49.64602029165077], [-118.24971038762776, 49.646068288156876], [-119.61971260345032, 49.62316552630791], [-119.61975646018962, 49.62313865213377], [-119.61981584838105, 49.623132042872676], [-119.61983412159812, 49.623112857941365], [-119.62909896396171, 49.60994374780193], [-119.69497714092569, 49.47887081650088], [-119.7453915508168, 49.31357823639472], [-119.75042828137713, 49.2853783704752], [-119.73244097210264, 48.959301642064815], [-119.7147746449511, 48.63320836526011], [-119.71471712032245, 48.633168203209024], [-119.71466460425137, 48.63312084483714], [-118.2251426693759, 48.658605900886926], [-118.22508072521917, 48.65864314135155], [-118.22501235555822, 48.65867495375569]]}",PASSED,1659909092000,0.000373,0.000473,0.000172,1.293684,-1000,-1000,S2B_OPER_MSI_L2A_DS_2BPS_20220807T215132_S20220807T185536_N04.00,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T11ULQ_A028310_20220807T185536,106.582858213644,INS-NOBS,107.178435629047,106.951969738484,106.992069476777,106.82273527023,18.885086,106.899146109873,PASSED,106.506942639417,106.666428074718,107.144059843404,0.0,0.09766199999999998,AUX_ECMWFT,0.066263,-1000,0.0,-1000,-1000,PASSED,1733049426,20220807T184919_20220807T185536_T11ULQ,GS2B_20220807T184919_028310_N04.00,0,SEN2COR_DDV,107.033916190668,154.065186050087,79.640895,87.75,365.41,247.08,953.93,PASSED,1659898855833,0,300.574044,1659898855833,04.00,113,1.876241,DESCENDING,PASSED,0.971499983833639,0.000301,7.38324076855803,7.24875503405771,7.22237357412603,7.17830679670865,7.1426919832022,7.42500565940739,7.16071751095892,7.31529728994408,0.248798,7.2780669797583,35.1368241742207,7.35031679353748,0,11ULQ,0.000473,S2B_MSIL2A_20220807T184919_N0400_R113_T11ULQ_20220807T215132,7.20587717711308,817.58,0.011,7.27706005761433,PASSED,7.35745416450844,1291.13,106.866502263669,1425.78,107.00837271183,1041.28,107.127827062224,1175.57,1959.75,1874.3,1512.79,1824.93,1.127085,2022-08-07
0,COPERNICUS/S2_SR_HARMONIZED/20220810T185919_20220810T190550_T10UGV,Sentinel-2B,0,-1000,2.030232,"{'type': 'LinearRing', 'coordinates': [[-120.23161840128378, 49.619635570948745], [-120.23162358028529, 49.61962099411335], [-120.2592030914337, 49.12644726133067], [-120.28603979153036, 48.633227564023905], [-120.28598669129718, 48.63318477424808], [-120.28594217170989, 48.633137985861104], [-120.28591997160291, 48.633134665269424], [-118.79928250914857, 48.58844826377462], [-118.79921684951579, 48.58848247575698], [-118.79914517310502, 48.58851100766749], [-118.79913972655694, 48.58852563733207], [-118.7785536783186, 48.83476284835866], [-118.75768742530225, 49.08097542259386], [-118.73653499190405, 49.32717075179306], [-118.71509166872418, 49.573348659714156], [-118.71514432843388, 49.57339214035129], [-118.7151881209127, 49.57343954244238], [-118.71521064200907, 49.57344318513489], [-120.23148014090812, 49.6197000545994], [-120.23154615511808, 49.6196649880231], [-120.23161840128378, 49.619635570948745]]}",PASSED,1660168499000,57.863414,57.834405,12.558678,2.21564,-1000,-1000,S2B_OPER_MSI_L2A_DS_2BPS_20220810T215459_S20220810T190550_N04.00,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T10UGV_A028353_20220810T190550,264.978111139121,INS-NOBS,263.233172419663,263.473304300435,263.374777289769,263.850958804036,11.434007,263.602102072154,PASSED,265.651767230137,264.457750132947,263.230403664077,23.917997,6.356028,AUX_ECMWFT,0.180629,-1000,0.002598,-1000,-1000,PASSED,1693613659,20220810T185919_20220810T190550_T10UGV,GS2B_20220810T185919_028353_N04.00,0,SEN2COR_DDV,263.327893618661,157.802797729342,19.748534,87.75,365.41,247.08,953.93,PASSED,1660158654391,0,293.119424,1660158654391,04.00,13,3e-06,DESCENDING,PASSED,0.97235328849454,21.357733,4.751084996586,4.50159730926584,4.44634358690895,4.35793121909319,4.28031587746552,4.82349242013034,4.31624868629438,4.62041671181621,2.192876,4.55917657598762,35.3806250102787,4.68471044649235,0,10UGV,57.834405,S2B_MSIL2A_20220810T185919_N0400_R013_T10UGV_20220810T215459,4.42223383788017,817.58,0.0109,4.54754277692134,PASSED,4.69727255224994,1291.13,263.787500721653,1425.78,263.353960650075,1041.28,263.179864831547,1175.57,1959.75,1874.3,1512.79,1824.93,0.401316,2022-08-10
0,COPERNICUS/S2_SR_HARMONIZED/20220810T185919_20220810T190550_T11ULQ,Sentinel-2B,0,-1000,1.830673,"{'type': 'LinearRing', 'coordinates': [[-119.76920370463272, 49.61961602166141], [-119.7692071998791, 49.619601134791736], [-119.74161947287006, 49.1264277376968], [-119.7147746449511, 48.63320836526011], [-119.71471712032245, 48.633168203209024], [-119.71466460425137, 48.63312084483714], [-118.34949011736704, 48.65721607481081], [-118.3437915520622, 48.65764295161271], [-118.3437676358798, 48.657660397160804], [-118.34373250087927, 48.65765700462838], [-118.3437064630978, 48.65767161210949], [-118.32770138093105, 48.669201380626106], [-118.32768404034971, 48.66922653533774], [-118.24089028774682, 48.85156365390976], [-118.23105017826089, 48.88406857864636], [-118.23108330914857, 48.9076474565285], [-118.24960063464755, 49.645979426398526], [-118.24965812359594, 49.64602029165077], [-118.24971038762776, 49.646068288156876], [-119.76907306576355, 49.619686839428596], [-119.7691349642631, 49.61964872931927], [-119.76920370463272, 49.61961602166141]]}",PASSED,1660168499000,75.63991,75.371528,10.13041,2.3672,-1000,-1000,S2B_OPER_MSI_L2A_DS_2BPS_20220810T215459_S20220810T190550_N04.00,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T11ULQ_A028353_20220810T190550,285.524243731611,INS-NOBS,286.509106573471,286.083130221548,286.190322829603,285.859566907963,8.66679,285.967097963396,PASSED,285.41322350237,285.640423539132,286.394579957882,36.549634,4.782905,AUX_ECMWFT,0.222324,-1000,0.0,-1000,-1000,PASSED,1527689456,20220810T185919_20220810T190550_T11ULQ,GS2B_20220810T185919_028353_N04.00,0,CAMS,286.345513193933,158.64498775662,8.218509,87.75,365.41,247.08,953.93,PASSED,1660158652009,0,293.674089,1660158652009,04.00,13,1.066699,DESCENDING,PASSED,0.97235328849454,28.691483,7.12101126651923,6.98034373581384,6.95271535855613,6.91034372951004,6.87714443767541,7.16485913303578,6.89205583684859,7.0420167518468,0.601011,7.00804227028392,35.2899174434011,7.07352939205247,0,11ULQ,75.371528,S2B_MSIL2A_20220810T185919_N0400_R013_T11ULQ_20220810T215459,6.93605771547517,817.58,0.0203,6.99797457621412,PASSED,7.08249067151318,1291.13,285.69982780684,1425.78,285.998652775471,1041.28,286.277354174517,1175.57,1959.75,1874.3,1512.79,1824.93,0.528586,2022-08-10
0,COPERNICUS/S2_SR_HARMONIZED/20220812T184931_20220812T185812_T10UGV,Sentinel-2A,0,-1000,4.050428,"{'type': 'LinearRing', 'coordinates': [[-120.00103153240637, 48.626066889400434], [-120.00098863453135, 48.62606214408578], [-118.79928250914857, 48.58844826377462], [-118.79914076433354, 48.58851279234404], [-118.7785536783186, 48.83476284835866], [-118.75768742530225, 49.08097542259386], [-118.73653499190405, 49.32717075179306], [-118.71509166872418, 49.573348659714156], [-118.71519079009671, 49.57344245994555], [-119.63020657302289, 49.60374368833046], [-119.63025354921764, 49.60371917250776], [-119.63031884360032, 49.6037153227302], [-119.63124622092505, 49.60263388326236], [-119.78330610327386, 49.20963829164942], [-119.89299203038152, 48.918429472626656], [-120.00133656495845, 48.62707007236566], [-120.00138511260174, 48.626252462623434], [-120.00134784510765, 48.62622227917271], [-120.00134186613835, 48.626180031244225], [-120.00103153240637, 48.626066889400434]]}",PASSED,1660351086000,12.239466,12.17818,0.878793,1.666134,-1000,-1000,S2A_OPER_MSI_L2A_DS_ATOS_20220813T003806_S20220812T185812_N04.00,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T10UGV_A037290_20220812T185812,105.266617710998,INS-NOBS,106.956549925091,106.190672860092,106.382144034646,105.809667731453,24.518758,106.007944787484,PASSED,105.081844228756,105.46373502002,106.790512140518,5.070334,2.121908,AUX_ECMWFT,0.131007,-1000,0.0,-1000,-1000,PASSED,1255281410,20220812T184931_20220812T185812_T10UGV,GS2A_20220812T184931_037290_N04.00,0,SEN2COR_DDV,106.561453866185,154.33057168372,54.951543,85.25,367.15,245.59,955.32,PASSED,1660330865858,0,293.795725,1660330865858,04.00,113,29.485512,DESCENDING,PASSED,0.972959617731059,6.229052,8.87817663651885,8.77723313661959,8.75786048475506,8.73659582786239,8.72086832372443,8.90172187527892,8.72399750702172,8.82285385306805,1.033193,8.79886326581255,36.5835021442278,8.84903989784281,0,10UGV,12.17818,S2A_MSIL2A_20220812T184931_N0400_R113_T10UGV_20220813T003806,8.74594226525478,812.92,0.0157,8.78552546976684,PASSED,8.84560724415305,1287.61,105.794431416959,1424.64,106.273234749114,1041.63,106.73079044269,1162.08,1959.66,1884.69,1512.06,1823.24,1.145996,2022-08-12
0,COPERNICUS/S2_SR_HARMONIZED/20220812T184931_20220812T185812_T11ULQ,Sentinel-2A,0,-1000,5.995116,"{'type': 'LinearRing', 'coordinates': [[-118.22501235555822, 48.65867495375569], [-118.22500851146368, 48.65868983889382], [-118.23713666711151, 49.152360725815186], [-118.24960063464755, 49.645979426398526], [-118.24965812359594, 49.64602029165077], [-118.24971038762776, 49.646068288156876], [-119.62469169984438, 49.62305261424201], [-119.62473033179364, 49.62302899261062], [-119.62478335331616, 49.6230274046485], [-119.62480512739496, 49.623009877064185], [-119.62795389245093, 49.61969624905328], [-119.63882030174813, 49.6054062561354], [-119.65993957943971, 49.56604946295723], [-119.75211043494798, 49.31557259115626], [-119.73326655731118, 48.97439715193789], [-119.7147746449511, 48.63320836526011], [-119.71471712032245, 48.633168203209024], [-119.71466460425137, 48.63312084483714], [-118.2251426693759, 48.658605900886926], [-118.22508072521917, 48.65864314135155], [-118.22501235555822, 48.65867495375569]]}",PASSED,1660351086000,23.987229,23.818855,2.137086,1.7823,-1000,-1000,S2A_OPER_MSI_L2A_DS_ATOS_20220813T003806_S20220812T185812_N04.00,-1000,-1000,-1000,-1000,-1000,-1000,-1000,L2A_T11ULQ_A037290_20220812T185812,105.586174781154,INS-NOBS,106.313637314405,105.997624709768,106.072691954623,105.850221777418,17.144209,105.929985445512,PASSED,105.484743612802,105.686899944329,106.235393501721,9.710095,2.256176,AUX_ECMWFT,0.14533,-1000,0.002712,-1000,-1000,PASSED,1701158221,20220812T184931_20220812T185812_T11ULQ,GS2A_20220812T184931_037290_N04.00,0,SEN2COR_DDV,106.108453378732,155.146033815432,48.734245,85.25,367.15,245.59,955.32,PASSED,1660330863910,0,293.061919,1660330863910,04.00,113,1.634318,DESCENDING,PASSED,0.972959617731059,11.971674000000002,7.37124761359407,7.22702905879698,7.20198197236438,7.1614841525711,7.12033017374248,7.41179531206725,7.14391633257639,7.28885121007193,1.042006,7.25646483568318,36.4731016701255,7.32902384296448,0,11ULQ,23.818855,S2A_MSIL2A_20220812T184931_N0400_R113_T11ULQ_20220813T003806,7.18254061859945,812.92,0.0074,7.24899985390374,PASSED,7.32978961887758,1287.61,105.888735148046,1424.64,106.097540682916,1041.63,106.270026531841,1162.08,1959.66,1884.69,1512.06,1823.24,1.006678,2022-08-12
